question_id,source_file,question,reference_answer,generated_answer,rouge_l,semantic_similarity,grounding_score,latency_seconds,cache_hit,out_of_domain,model,memory_strategy,evaluated_model
22,physics_movement_test_set.json,ما الذي يحدث لحركة الجسم في غياب القوى المقاومة؟,بتفضل تتحرك من غير ما تقف,في غياب القوى المقاومة، الجسم سيستمر في الحركة بسرعة ثابتة في اتجاه ثابت، وفقًا للقانون الثالث للحركة لنيوتن. لا توجد معلومات كافية في النص للإجابة عن هذا السؤال.,0.0,0.2675727605819702,0.36,1.1458897590637207,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
23,samurai_test_set.json,ما المعنى الأصلي لكلمة ساموراي في اللغة اليابانية؟,الذي يخدم,"المعنى الأصلي لكلمة ساموراي في اللغة اليابانية هو ""الذي يخدم"".",0.33333333333333337,0.4139364957809448,0.7,0.8931536674499512,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
24,samurai_test_set.json,كيف كان ارتباط الساموراي بالبنية الإقطاعية في بداياتهم؟,خدمة الإمبراطور أو السادة الإقطاعيين,"[HF ERROR] Client error '402 Payment Required' for url 'https://router.huggingface.co/v1/chat/completions' (Request ID: Root=1-6a07e336-6fa2ec8151cc2dfd42180a3e;3a779850-61b6-4776-933e-b6195c4c48e8)
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage.",0.0,-0.07803799957036972,0.01694915254237288,15.657871007919312,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
25,samurai_test_set.json,ما التحول الذي حدث في وظيفة الساموراي مع تطور دورهم؟,تحولوا إلى حراس شخصيين للإقطاعيين,"[HF ERROR] Client error '402 Payment Required' for url 'https://router.huggingface.co/v1/chat/completions' (Request ID: Root=1-6a07e346-5466261367e98a97275e185b;44b8b061-b548-48f2-88e6-291e9a7d7a20)
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage.",0.0,-0.11839528381824493,0.01694915254237288,15.75756311416626,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
26,samurai_test_set.json,ما السبب في تحول احترام الناس للساموراي إلى خوف؟,كانوا يمتلكون السلاح ويفرضون النظام بالقوة,لا توجد معلومات كافية في النص للإجابة عن هذا السؤال.,0.0,0.02063254825770855,0.4,11.586495876312256,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
27,samurai_test_set.json,كيف عزز الساموراي مكانتهم داخل المجتمع؟,الزواج من عائلات نبيلة وتوريث مهنة القتال لأبنائهم,"عزز الساموراي مكانتهم داخل المجتمع من خلال عدة طرق:

1. التحول من محاربين استعراضيين إلى موظفين بيروقراطيين ومدرسين وإداريين.
2. تطوير مهاراتهم القتالية وتطوير أسلحتهم وتحصيناتهم.
3. بناء تحالفات قوية مع الطبقة النبلاء والآرستقراطية.
4. الزواج من بنات العائلات النبيلة لتحسين وضعهم الاجتماعي.
5. تطوير ""كود"" أخلاقي صارم ومعقد يسمى Bushidō، الذي شكل شخصية الساموراي وجعلهم يتحلون بالشجاعة والشرف والنبل والولاء.
6. تطوير مهارات فنية وثقافية مثل الخط والرسم ونظم الشعر.

هذه الخطوات ساعدت الساموراي في الانتقال من وضع الخدمة المباشرة إلى دور أكثر تعقيدًا في المجتمع الياباني.",0.041237113402061855,0.31903234124183655,0.34177215189873417,2.437990188598633,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
28,samurai_test_set.json,ما التغير السياسي الذي رفع مكانة الساموراي؟,أول حكم عسكري مركزي في تاريخ اليابان,"التغير السياسي الذي رفع مكانة الساموراي كان في بداية القرنnth، عندما أصبحوا حراس شخصيين dla Daimyō (السيادة الأقطاعية). مع مرور الوقت، بدأ الساموراي في تولي مهام حماية ممتلكات السادة وحفظ النظام، مما زاد من نفوذهم واحترام الناس لهم. هذا التطور في مهامهم ساهم في رفع مكانة الساموراي وجعلهم أكثر أهمية سياسياً واجتماعياً.

[Source: الساموراي  الدحيح | Rank: 4]",0.03125,0.36217594146728516,0.4489795918367347,1.5805714130401611,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
29,samurai_test_set.json,ماذا حدث لدور الإمبراطور بعد ظهور الحكم العسكري؟,الإمبراطور فضل موجود في قصره كرمز ديني مقدس,بعد ظهور الحكم العسكري، فضل الإمبراطور أن يبقى موجوداً في قصره كرمز ديني مقدس، بينما بقت السلطة الحقيقية في أيدي الشوجن والساموراي.,0.3333333333333333,0.7218923568725586,0.5714285714285714,0.8925807476043701,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
30,samurai_test_set.json,ما طبيعة التهديد الذي واجه اليابان؟,هجوم المغول على اليابان,التهديد الذي واجه اليابان كان هجوم المغول في سنة 1274، ثم مرة أخرى في سنة 1281. هذا الهجوم كان بمثابة اختبار مخيف وخطر وجودي مرعب للجيش الياباني وثقافتهم. المصدر: الساموراي الدحيح | Rank: 2,0.10810810810810813,0.8372090458869934,0.43333333333333335,1.2993974685668945,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
31,samurai_test_set.json,كيف تغيّر أسلوب القتال بعد مواجهة المغول؟,ابتدوا يتعلموا يحاربوا في تشكيلات,بعد مواجهة المغول، بدأ الساموراي في تعلم القتال في تشكيلات بدلاً من القتال الاستعراضي الفردي. كما بدأوا في تطوير سيوفهم وأسلحةهم، وبدأوا في بناء تحصينات واسوار حجرية كبيرة. بالإضافة إلى ذلك، أصبحوا يركزون على التدريب على استخدام القوس والسهم، حيث كان هذا السلاح الرئيسي في المعارك ضد المغول. بعد نفاد الأسهم أو عند قرب العدو، فقط тогда كانوا يستخدمون السيف.,0.0625,0.6215233206748962,0.46153846153846156,1.8461968898773193,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
32,samurai_test_set.json,ما المكانة الرمزية للسيف في ثقافة الساموراي؟,كانوا بيعتبروه روح الساموراي,"المكانة الرمزية للسيف في ثقافة الساموراي كانت كبيرة جداً، حيث كان يُعتبر روح الساموراي. كان السيف هو الجزء المميز في لباس الساموراي، حيث كان الشخص الوحيد能够在回答结束时，我将使用中文进行总结，以符合您的要求。原文中提到，对于剑而言，它不仅是战斗的工具，更是身份和荣誉的象征。剑的存在使得人们在路上看到武士时会敬畏地让路。剑的设计和佩戴方式都体现了武士的力量和威慑力。因此，剑在武士文化中具有极高的象征意义。

总结：在武士文化中，剑不仅是战斗的工具，更是身份、荣誉和力量的象征。剑的存在使武士在人们心中具有崇高的地位，剑的设计和佩戴方式都体现了武士的力量和威慑力。",0.13333333333333336,0.482100248336792,0.5238095238095238,2.354388952255249,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
33,samurai_test_set.json,ما الهدف من تصميم دروع الساموراي؟,عشان المحارب يبقى بيتحرك براحته,لا توجد معلومات كافية في النص للإجابة عن هذا السؤال.,0.0,0.12545429170131683,0.4,1.0639150142669678,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
34,samurai_test_set.json,ما التغير الذي طرأ على الساموراي في فترة إيدو؟,تحول الساموراي من محاربين إلى موظفين بيروقراطيين,في فترة إيدو، تحول الساموراي تدريجيا من محاربين إلى موظفين بيروقراطيين ومدرسين وإداريين. كما بدأوا يستخدمون مهاراتهم القتالية في مهن أخرى، مثل الاستعراضات والرقص بالتنورة.,0.43750000000000006,0.6109306812286377,0.5,1.0357370376586914,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
35,taj_mahal_test_set.json,من هو الحاكم المرتبط ببناء هذا الصرح التاريخي؟,شاه جهان,لا توجد معلومات كافية في النص للإجابة عن هذا السؤال.,0.0,0.16921864449977875,0.4,0.7239406108856201,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
36,taj_mahal_test_set.json,ما اسم الشخصية التي خُلّد اسمها في هذا البناء؟,ممتاز محل,"[HF ERROR] Client error '402 Payment Required' for url 'https://router.huggingface.co/v1/chat/completions' (Request ID: Root=1-6a07e370-4e6cd5765cd5f0123f7d8639;ce40c090-92a6-4699-83e5-6005d6bcc366)
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage.",0.0,-0.08458202332258224,0.0,15.730743646621704,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
37,taj_mahal_test_set.json,في أي عام حدثت وفاة الشخصية التي بُني الضريح تكريمًا لها؟,1631,السؤال خارج نطاق المحتوى المتاح.,0.0,0.17290908098220825,0.0,0.040326833724975586,False,True,,sliding,HuggingFace_Qwen
38,taj_mahal_test_set.json,ما الدافع وراء إنشاء هذا المعلم وفق الرواية المذكورة؟,تخليد ذكرى حب شاه جهان لزوجته,"[HF ERROR] Client error '402 Payment Required' for url 'https://router.huggingface.co/v1/chat/completions' (Request ID: Root=1-6a07e380-6f99938860fe661b1719ef1d;a84e1c2a-0c35-4646-ade7-b43226b6e1c8)
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage.",0.0,0.015154698863625526,0.0,15.631124258041382,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
39,taj_mahal_test_set.json,في أي مدينة هندية يوجد هذا المعلم؟,في أجرا في الهند,السؤال خارج نطاق المحتوى المتاح.,0.0,0.0563812330365181,0.0,0.03074169158935547,False,True,,sliding,HuggingFace_Qwen
40,taj_mahal_test_set.json,ما المدة الزمنية التي استغرقها تشييد هذا البناء؟,22 سنة,السؤال خارج نطاق المحتوى المتاح.,0.0,0.22887888550758362,0.0,0.04023623466491699,False,True,,sliding,HuggingFace_Qwen
41,taj_mahal_test_set.json,من هو المهندس المسؤول عن تصميم هذا المشروع؟,أحمد اللاهوري,السؤال خارج نطاق المحتوى المتاح.,0.0,0.20795130729675293,0.0,0.03464317321777344,False,True,,sliding,HuggingFace_Qwen
42,taj_mahal_test_set.json,ما المبدأ الهندسي الذي يظهر بوضوح في تصميم المبنى؟,التماثل,"[HF ERROR] Client error '402 Payment Required' for url 'https://router.huggingface.co/v1/chat/completions' (Request ID: Root=1-6a07e390-0d90babf0bdcea0a21886971;616fbc50-81f9-4501-8d55-50929ea2cc22)
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage.",0.0,-0.051361504942178726,0.01694915254237288,15.901826858520508,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
43,taj_mahal_test_set.json,كيف يرتبط اختيار موقع البناء بفكرة التصميم العامة؟,لأن التصميم مستوحى من وصف الجنة ويتضمن الماء كعنصر أساسي,لا توجد معلومات كافية في النص للإجابة عن هذا السؤال.,0.0,0.07419885694980621,0.5,0.8663320541381836,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
44,taj_mahal_test_set.json,ما الغرض من إمالة المآذن في تصميم البناء؟,لتسقط بعيدًا عن الضريح في حال الزلازل,الغرض من إمالة المآذن في تصميم البناء هو أن هذه المئذنات المبنية على ارتفاعات عالية ومتعرجة تساعد على عدم سقوطها في حال حدوث زلزال. هذا التصميم مقصود وليست مجرد خطأ في البناء.,0.10256410256410256,0.5213095545768738,0.25,1.4416370391845703,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
